Button A: X+75, Y+30
Button B: X+57, Y+75
Prize: X=9885, Y=8130

Button A: X+48, Y+12
Button B: X+20, Y+52
Prize: X=1320, Y=5260

Button A: X+20, Y+86
Button B: X+46, Y+33
Prize: X=370, Y=767

Button A: X+21, Y+77
Button B: X+65, Y+36
Prize: X=4616, Y=8832

Button A: X+49, Y+88
Button B: X+90, Y+36
Prize: X=3292, Y=5284

Button A: X+46, Y+13
Button B: X+11, Y+71
Prize: X=6610, Y=7336

Button A: X+55, Y+23
Button B: X+25, Y+47
Prize: X=8960, Y=6506

Button A: X+19, Y+90
Button B: X+91, Y+28
Prize: X=1245, Y=3076

Button A: X+77, Y+15
Button B: X+55, Y+57
Prize: X=7535, Y=2301

Button A: X+29, Y+59
Button B: X+39, Y+11
Prize: X=15636, Y=3044

Button A: X+17, Y+94
Button B: X+68, Y+34
Prize: X=4607, Y=4612

Button A: X+56, Y+17
Button B: X+11, Y+52
Prize: X=9639, Y=2048

Button A: X+63, Y+49
Button B: X+14, Y+94
Prize: X=3703, Y=9529

Button A: X+54, Y+28
Button B: X+22, Y+48
Prize: X=11978, Y=11172

Button A: X+46, Y+11
Button B: X+36, Y+61
Prize: X=2678, Y=17058

Button A: X+66, Y+34
Button B: X+14, Y+36
Prize: X=15424, Y=3726

Button A: X+17, Y+72
Button B: X+84, Y+66
Prize: X=6233, Y=9882

Button A: X+17, Y+98
Button B: X+86, Y+40
Prize: X=5832, Y=9920

Button A: X+23, Y+48
Button B: X+30, Y+13
Prize: X=16304, Y=10705

Button A: X+49, Y+31
Button B: X+25, Y+86
Prize: X=3496, Y=8037

Button A: X+81, Y+24
Button B: X+34, Y+89
Prize: X=4240, Y=5834

Button A: X+35, Y+53
Button B: X+70, Y+15
Prize: X=4305, Y=1605

Button A: X+69, Y+19
Button B: X+22, Y+60
Prize: X=8042, Y=6368

Button A: X+22, Y+25
Button B: X+44, Y+14
Prize: X=3916, Y=2506

Button A: X+39, Y+53
Button B: X+96, Y+11
Prize: X=9240, Y=4553

Button A: X+70, Y+55
Button B: X+18, Y+86
Prize: X=5672, Y=7259

Button A: X+62, Y+27
Button B: X+21, Y+54
Prize: X=1842, Y=13220

Button A: X+17, Y+53
Button B: X+46, Y+19
Prize: X=7487, Y=19043

Button A: X+67, Y+25
Button B: X+24, Y+63
Prize: X=5154, Y=7272

Button A: X+59, Y+20
Button B: X+12, Y+37
Prize: X=17990, Y=1825

Button A: X+70, Y+24
Button B: X+17, Y+58
Prize: X=8465, Y=4706

Button A: X+16, Y+56
Button B: X+56, Y+15
Prize: X=10488, Y=19753

Button A: X+27, Y+16
Button B: X+25, Y+47
Prize: X=2997, Y=11753

Button A: X+66, Y+29
Button B: X+26, Y+72
Prize: X=2270, Y=5056

Button A: X+86, Y+62
Button B: X+18, Y+89
Prize: X=7356, Y=8040

Button A: X+95, Y+41
Button B: X+51, Y+87
Prize: X=2737, Y=2611

Button A: X+11, Y+52
Button B: X+63, Y+15
Prize: X=13818, Y=8890

Button A: X+24, Y+62
Button B: X+58, Y+17
Prize: X=4918, Y=16511

Button A: X+11, Y+47
Button B: X+63, Y+18
Prize: X=6709, Y=14881

Button A: X+48, Y+39
Button B: X+17, Y+76
Prize: X=4539, Y=8352

Button A: X+22, Y+49
Button B: X+66, Y+17
Prize: X=7260, Y=3430

Button A: X+80, Y+32
